Date,Mortgage Average,Unemployment Rate,Housing Inventory,Population Growth,Inflation,Permit-Issuing Places,Median Household Income,Price
01-01-2000,8.256923077,4.033333333,116047,1.112768997,3.376857271,1690,41990,100.679
01-04-2000,8.316153846,3.933333333,116047,#N/A,#N/A,1570.666667,#N/A,103.6986667
01-07-2000,8.02,4,116482,#N/A,#N/A,1554.666667,#N/A,106.459
01-10-2000,7.620769231,3.9,116914,#N/A,#N/A,1578,#N/A,108.2696667
01-01-2001,7.006923077,4.233333333,117347,0.989741382,2.826171119,1671.333333,42228,109.7496667
01-04-2001,7.13,4.4,117786,#N/A,#N/A,1652.333333,#N/A,112.2403333
01-07-2001,6.963846154,4.833333333,118216,#N/A,#N/A,1592.666667,#N/A,114.8923333
01-10-2001,6.770769231,5.5,118635,#N/A,#N/A,1632.333333,#N/A,115.858
01-01-2002,6.971538462,5.7,119061,0.927797486,1.586031627,1714.333333,42409,117.0943333
01-04-2002,6.813076923,5.833333333,119483,#N/A,#N/A,1714.333333,#N/A,120.776
01-07-2002,6.289230769,5.733333333,119909,#N/A,#N/A,1745.333333,#N/A,124.636
01-10-2002,6.075384615,5.866666667,120350,#N/A,#N/A,1822,#N/A,126.6426667
01-01-2003,5.840769231,5.866666667,120792,0.859481713,2.270094973,1806.333333,43318,128.4286667
01-04-2003,5.506923077,6.133333333,121233,#N/A,#N/A,1837.666667,#N/A,131.8506667
01-07-2003,6.033846154,6.133333333,121682,#N/A,#N/A,1937.333333,#N/A,135.896
01-10-2003,5.919285714,5.833333333,122159,#N/A,#N/A,1972.333333,#N/A,138.7886667
01-01-2004,5.5975,5.7,122632,0.925483969,2.677236693,1994.666667,44334,142.271
01-04-2004,6.106153846,5.6,123099,#N/A,#N/A,2080,#N/A,148.3436667
01-07-2004,5.894285714,5.433333333,123587,#N/A,#N/A,2069.666667,#N/A,153.753
01-10-2004,5.736153846,5.433333333,124096,#N/A,#N/A,2086,#N/A,157.488
01-01-2005,5.768461538,5.3,124611,0.921713167,3.392746845,2105,46326,162.21
01-04-2005,5.708461538,5.1,125118,#N/A,#N/A,2137.666667,#N/A,169.5193333
01-07-2005,5.763846154,4.966666667,125619,#N/A,#N/A,2228.333333,#N/A,175.8766667
01-10-2005,6.226153846,4.966666667,126104,#N/A,#N/A,2169.333333,#N/A,179.5103333
01-01-2006,6.246923077,4.733333333,126584,0.964253917,3.225944101,2157,48201,181.6923333
01-04-2006,6.602307692,4.633333333,127072,#N/A,#N/A,1923.333333,#N/A,184.1916667
01-07-2006,6.56,4.633333333,127548,#N/A,#N/A,1713.333333,#N/A,184.4033333
01-10-2006,6.243846154,4.433333333,127991,#N/A,#N/A,1581,#N/A,183.6376667
01-01-2007,6.214615385,4.5,128439,0.951055243,2.852672482,1606.666667,50233,182.4606667
01-04-2007,6.358461538,4.5,128888,#N/A,#N/A,1456.666667,#N/A,181.8516667
01-07-2007,6.551538462,4.666666667,129300,#N/A,#N/A,1314.333333,#N/A,180.1163333
01-10-2007,6.224615385,4.8,129634,#N/A,#N/A,1188.333333,#N/A,175.3433333
01-01-2008,5.872307692,5,129968,0.945865287,3.839100297,1025,50303,169.3906667
01-04-2008,6.086923077,5.333333333,130303,#N/A,#N/A,1061,#N/A,166.9606667
01-07-2008,6.322307692,6,130590,#N/A,#N/A,858.6666667,#N/A,163.9673333
01-10-2008,5.841428571,6.866666667,130797,#N/A,#N/A,638.6666667,#N/A,155.9256667
01-01-2009,5.06,8.266666667,131001,0.876651299,-0.355546266,538.6666667,49777,147.8313333
01-04-2009,5.012307692,9.3,131207,#N/A,#N/A,559.3333333,#N/A,148.303
01-07-2009,5.162307692,9.633333333,131375,#N/A,#N/A,606.6666667,#N/A,150.3476667
01-10-2009,4.922142857,9.933333333,131490,#N/A,#N/A,623.3333333,#N/A,147.729
01-01-2010,4.995833333,9.833333333,131626,0.829616675,1.640043442,657.6666667,49276,143.8846667
01-04-2010,4.922307692,9.633333333,131749,#N/A,#N/A,599.6666667,#N/A,146.7163333
01-07-2010,4.447142857,9.466666667,131874,#N/A,#N/A,574,#N/A,146.202
01-10-2010,4.436153846,9.5,131995,#N/A,#N/A,583.3333333,#N/A,141.863
01-01-2011,4.846923077,9.033333333,132117,0.726786705,3.156841569,567,50054,138.189
